smiles,lgHL
O=C(C(C1=CCC=CC1)N)NC1C(=O)N2C1SCC(=C2C(=O)O)C,-0.0706
CON=C(c1csc(n1)N)C(=O)NC1C(=O)N2C1SCC(=C2C(=O)OCOC(=O)C(C)(C)C)C=Cc1scnc1C,0.204
CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,0.924
Clc1ccc2c(c1)CCc1c(C2=C2CCNCC2)nccc1,1.7
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,0.944
O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CC2C(C1)CCC2,1.04
CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)N(=O)=O,0.544
Oc1ccc(cc1)CCCCNCC(c1ccc(c(c1)O)O)O,-0.875
COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,0.447
O=C(C1CCC(CC1)(F)F)NC(c1ccccc1)CCN1C2CCC1CC(C2)n1c(C)nnc1C(C)C,1.2
CCN1CCCC1CNC(=O)c1cc(c(cc1OC)N)S(=O)(=O)CC,1.08
CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(=O)(=O)N,0.845
CCN1CCCC1CNC(=O)c1c(OC)ccc(c1OC)Br,0.74
Cc1ncsc1CCCl,0.653
NC(=Nc1scc(n1)CSCCC(=NS(=O)(=O)N)N)N,0.447
CNC1CCC(c2c1cccc2)c1ccc(c(c1)Cl)Cl,1.41
CSCCC(C(=O)NC(C(=O)NC(C(=O)N)Cc1ccccc1)CC(=O)O)NC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)CCNC(=O)OCC(C)C,-0.778
O=C1NCC(O1)COc1cc(C)cc(c1)C,0.964
BrC1CCC(Br)C(Br)CCC(C(CCC1Br)Br)Br,3.25
O=C(c1ccc(cc1)Cl)NCCN1CCOCC1,0.176
OCC1OC(C(C1O)O)c1scc(n1)C(=O)N,0.771
CC(=O)OC1CC2(C(C1=C(C(=O)O)CCC=C(C)C)CC(C1C2(C)CCC2C1(C)CCC(C2C)O)O)C,0.74
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,3.95
Clc1cnc(c(c1)c1ccc(cc1)S(=O)(=O)C)c1ccc(nc1)C,1.41
Oc1ccc2c(c1)C13CCCCC3(C(C2)N(CC1)CC1CCC1)O,0.681
O=C1OCC(=C1)C1CCC2(C1(C)CCC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,2.26
O=C1OCC(=C1)C1CCC2(C1(C)C(O)CC1C2CCC2C1(C)CCC(C2)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)OC1CC(O)C(C(O1)C)O)O,1.58
CN1CCC(=C2c3ccccc3CC(=O)c3c2ccs3)CC1,1.32
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC,1.48
O=S1(=O)NC(Cc2ccccc2)Nc2c1cc(c(c2)C(F)(F)F)S(=O)(=O)N,0.929
Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2,1.46
O=C1OCC(=C1c1ccccc1)c1ccc(cc1)S(=O)(=O)C,1.23
OC(COc1cccc2c1c(=O)cc(o2)C(=O)O)COc1ccc2c(c1)c(=O)cc(o2)C(=O)O,0.114
Fc1ccc(c(c1)F)C(C(c1ncncc1F)C)(Cn1cncn1)O,0.748
Cc1onc(c1c1ccc(cc1)S(=O)(=O)N)c1ccccc1,0.978
CCC1=C(C)CN(C1=O)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCC(CC1)C,0.998
Clc1cccc(c1)N1CCNCC1,0.672
C1CN=C(N1)C1COc2c(O1)cccc2,0.623
CCCN1CC(CSC)CC2C1Cc1c[nH]c3c1c2ccc3,1.43
C=CCN1CC(CC2C1Cc1c[nH]c3c1c2ccc3)C(=O)N(C(=O)NCC)CCCN(C)C,1.82
CCN(c1cccc(c1)c1ccnc2n1ncc2C#N)C(=O)C,0.0414
