,smiles,lgHL
306,NC12CC3CC(C2)CC(C1)C3,1.2
307,C#CC1(O)CCC2C1(CC)CCC1C2CCC2=CC(=O)CCC12,0.973
308,O=C1C=CC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,2.53
309,Clc1ccc2c(c1)C(=NC(C(=O)N2)O)c1ccccc1Cl,1.23
310,Clc1ccc2c(c1)C(=NC(C(=O)N2C)O)c1ccccc1,1.18
311,Clc1ccc2c(c1)C(=NC(C(=O)N2C)O)c1ccccc1Cl,0.69
312,CCN(CCOc1ccc(cc1)C(=C(c1ccccc1)Cl)c1ccccc1)CC,2.16
313,CCOC(=O)C1(CCN(CC1)CCC(c1ccccc1)(c1ccccc1)C#N)c1ccccc1,1.11
314,O=C(NS(=O)(=O)c1ccc(cc1)C(=O)C)NC1CCCCC1,0.114
315,OC(c1ccccc1)(c1ccccc1)CCCN1CCCCC1,0.602
316,O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1,1.66
317,CCN(C(CN1c2ccccc2Sc2c1cccc2)C)CC,0.176
318,NCC(c1ccc(cc1)Cl)CC(=O)O,0.179
319,O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CCCCCC1,0.845
320,Brc1c(Oc2c(Br)c(Br)c(c(c2Br)Br)Br)c(Br)c(c(c1Br)Br)Br,2.46
321,NCC1CCC(CC1)C(=O)O,0.362
322,CCC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,0.756
323,CCC(C(c1ccccc1)(c1ccccc1)CC(N(C)C)C)OC(=O)C,1.26
324,O=C1CN=C(c2c(N1)ccc(c2)N(=O)=O)c1ccccc1Cl,1.58
325,CN1C(=O)CN=C(c2c1ccc(c2)N(=O)=O)c1ccccc1F,1.4
326,O=C1NCC(O1)COc1cc(C)cc(c1)C,0.964
327,CN(CCC=C1c2ccccc2OCc2c1cccc2)C,1.18
328,CNC1C(O)C2OC3OC(C)CC(=O)C3(OC2C(C1O)NC)O,0.255
329,Nc1nc2c(s1)cc(cc2)OC(F)(F)F,1.08
330,Clc1cc2Oc3cc(Cl)c(cc3Oc2cc1Cl)Cl,4.83
331,FC(C(C(C(C(S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,4.62
332,CN(CCOC(c1ccc(cc1)Br)c1ccccc1)C,0.398
333,O=C1CN=C(c2c(N1)ccc(c2)Br)c1ccccn1,1.32
334,CCNc1nc(NC(C)C)nc(n1)Cl,1.48
335,CC(=O)CNc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,0.114
336,CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,2.91
337,CCCCCc1cc(O)c2c(c1)OC(C1C2C=C(C)CC1)(C)C,1.52
