smiles,lgHL
O=C(C(c1ccccc1)O)NC1C(=O)N2C1SCC(=C2C(=O)O)CSc1nnnn1CS(=O)(=O)O,0.653
Clc1cc2oc3c(c2c(c1Cl)Cl)c(Cl)c(c(c3Cl)Cl)Cl,4.61
CC(Cn1cnc2c1ncnc2N)OCP(=O)(O)O,0.763
OCC(=O)C12OC(OC1CC1C2(C)CC(O)C2(C1CC(C1=CC(=O)C=CC21C)F)F)(C)C,0.176
NC12CC3CC(C2)CC(C1)C3,1.2
Clc1cc(Cl)c(c(c1)Cl)c1ccccc1,1.88
Clc1cc2c(c(c1Cl)Cl)oc1c2cc(Cl)c(c1Cl)Cl,4.43
CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,2.33
OC(COc1ccc(cc1)CCOCC1CC1)CNC(C)C,1.23
CN1CCN2C(C1)c1ccccc1Cc1c2cccc1,1.13
COCC(=O)OC1(CCN(CCCc2nc3c([nH]2)cccc3)C)CCc2c(C1C(C)C)ccc(c2)F,1.11
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,0.176
C#CC1(O)CCC2C1(C)CCC1C2CCc2c1ccc(c2)O,0.987
O=C1CN=C(c2c(N1)ccc(c2)N(=O)=O)c1ccccc1Cl,1.58
CCCc1cc(=O)[nH]c(=S)[nH]1,0.114
OC(c1cc(nc2c1cccc2C(F)(F)F)C(F)(F)F)C1CCCCN1,2.7
Clc1ccccc1CN1CCc2c(C1)ccs2,2.0
O=C1CN(C(=O)N1)N=Cc1ccc(o1)c1ccc(cc1)N(=O)=O,1.0
Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,5.48
CC(c1ccc2c(c1)c(=O)c1c(o2)nc(c(c1)C(=O)O)N)C,0.544
CCC(COC(c1ccccc1)(c1ccccc1)C(=O)OCCN(C)C)CC,1.53
OC(COc1ccc(cc1)O)CNCCNC(=O)N1CCOCC1,0.886
O=N(=O)c1ccc(c(c1)N(=O)=O)C,0.301
OC(=O)Cc1ccc(n1C)C(=O)c1ccc(cc1)C,0.699
CC(=O)NCC1OC(=O)N(C1)c1ccc(c(c1)F)N1CCOCC1,0.653
C#CC1(O)CCC2C1(C)CCC1C2CCc2c1ccc(c2)OS(=O)(=O)O,0.924
OC(CNC(C)(C)C)COc1ccc(cc1)NC(=O)NC1CCCCC1,1.04
COc1cc2CCN(Cc2cc1OC)c1cc(N)c2c(n1)cc(c(c2)OC)OC,0.771
Clc1ccc2c(c1)C(=NCC(=S)N2CC(F)(F)F)c1ccccc1F,1.59
Cc1ccc(cc1)C,1.48
Clc1ccc(cc1)c1cc(Cl)c(c(c1)Cl)Cl,3.87
CC(Cn1cnc2c1c1ccccc1nc2N)C,1.3
OCC1OC(CC1O)n1cnc2c1nc(Cl)nc2N,1.2
O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,0.263
COc1cc(NCc2ccc3c(c2C)c(N)nc(n3)N)cc(c1OC)OC,1.23
CC(Cc1ccc(cc1)C(C(=O)O)C)C,0.204
Clc1ccc(c(c1)c1c(Cl)cc(cc1Cl)Cl)Cl,3.48
CC(CN(S(=O)(=O)c1ccc(cc1)N)CC(C(Cc1ccccc1)NC(=O)OC1CCOC1)O)C,0.947
CN1CCN(CC1)CCC=C1c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C,1.18
OC(=O)C1N2C(=O)CC2S(=O)(=O)C1(C)C,0.0414
Clc1cccc(c1Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl,3.78
CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCN(CC1)C)c(c2)F,1.04
CCOc1ccccc1OC(c1ccccc1)C1OCCNC1,1.0
O=C(NC1C(=O)N2C1SCC(=C2C(=O)O)COC(=O)C)CSc1ccncc1,0.0792
ClC1=C(Cl)C2(C(C1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl,3.95
OC(=O)CCSC(c1cccc(c1)C=Cc1ccc2c(n1)cc(cc2)Cl)SCCC(=O)N(C)C,0.362
Brc1cc(Br)c(cc1c1cc(Br)c(cc1Br)Br)Br,4.76
